Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0402_1005Metric",83.620000,-57.190000,-90.000000,top
"C2","22pF","C_0402_1005Metric",88.750000,-57.190000,90.000000,top
"C3","10uF","C_0805_2012Metric",85.480000,-70.470000,0.000000,top
"C4","100n","C_0402_1005Metric",85.470000,-71.920000,0.000000,top
"C5","10uF","C_0805_2012Metric",83.630000,-76.930000,0.000000,top
"C6","100n","C_0402_1005Metric",83.670000,-75.500000,0.000000,top
"C7","10uF","C_0805_2012Metric",83.430000,-107.245000,180.000000,top
"C9","100n","C_0402_1005Metric",83.430000,-105.795000,180.000000,top
"C10","100n","C_0402_1005Metric",87.030000,-98.865000,180.000000,top
"C11","220uF","CP_EIA-3528-21_Kemet-B",83.107500,-111.865000,180.000000,top
"C12","100n","C_0402_1005Metric",86.350000,-112.655000,-90.000000,top
"C13","100n","C_0402_1005Metric",98.360000,-77.240000,180.000000,top
"D1","LED","LED_0805_2012Metric",80.207500,-68.820000,0.000000,top
"D2","SS54","D_SMA",85.117500,-115.340000,180.000000,top
"D3","SS54","D_SMA",89.620000,-101.075000,180.000000,top
"J1","Conn_01x04_Pin","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",97.680000,-124.010000,180.000000,top
"J2","Conn_01x04_Pin","JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical",76.320000,-122.970000,0.000000,top
"J3","Conn_01x05_Pin","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",71.450000,-68.160000,90.000000,top
"J4","AddressJumpers","PinHeader_2x08_P2.54mm_Vertical",95.560000,-55.810000,0.000000,top
"J5","HallSensor","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",71.465000,-79.630000,90.000000,top
"J6","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",77.600000,-51.840000,90.000000,top
"J7","Serial-328P","PinHeader_1x05_P2.54mm_Vertical",98.740000,-49.010000,-90.000000,top
"J8","Serial-ESP12E","PinHeader_1x06_P2.54mm_Vertical",98.370000,-98.200000,0.000000,top
"J9","WS2812","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",71.510000,-92.910000,90.000000,top
"L1","47uH","L_Chilisin_BMRx00060630",89.670000,-107.285000,-90.000000,top
"R1","220","R_0402_1005Metric",82.360000,-68.820000,90.000000,top
"R2","10k","R_0402_1005Metric",93.910000,-76.530000,0.000000,top
"R3","10k","R_0402_1005Metric",80.720000,-97.465000,180.000000,top
"R4","5k9","R_0402_1005Metric",80.250000,-98.865000,-90.000000,top
"R5","10k","R_0402_1005Metric",93.910000,-77.480000,0.000000,top
"R6","10k","R_0402_1005Metric",91.280000,-96.550000,180.000000,top
"R7","10k","R_0402_1005Metric",89.410000,-96.550000,0.000000,top
"SW1","RESET","SW_SPST_SKQG_WithStem",90.070000,-73.720000,-90.000000,top
"U1","TPS5430","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm_ThermalVias",83.420000,-101.635000,-90.000000,top
"U2","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",79.145000,-62.625000,180.000000,top
"U3","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",88.170000,-64.190000,-90.000000,top
"U4","ESP-12E","ESP-12E",95.000000,-87.000000,-90.000000,top
"Y2","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",86.190000,-57.190000,180.000000,top
